   Durata Data Impulso Maxpulse Calorie
  0 60 '01/12/2020' 110 130 409,1
  1 60' 02/12/2020' 117 145 479,0
  2 60' 03/12/2020' 103 135 340,0
  3 45 '2020/12/04' 109 175 282,4
  4 45 '2020/12/05' 117 148 406,0
  5 60 '2020/12/06' 102 127 300,0
  6 60' 07/12/2020' 110 136 374,0
  7 450 '2020/12/08' 104 134 253,3
  8 30' 09/12/2020' 109 133 195,1
  9 60' ​​10/12/2020' 98 124 269,0
  10 60 '2020/12/11' 103 147 329,3
  11 60' 12/12/2020' 100 120 250,7
  12 60' 12/12/2020' 100 120 250,7
  13 60' 13/12/2020' 106 128 345,3
  14 60' 14/12/2020' 104 132 379,3
  15 60' 15/12/2020' 98 123 275,0
  16 60' 16/12/2020' 98 120 215,2
  17 60' 17/12/2020' 100 120 300,0
  18 45 '18/12/2020' 90 112 NaN
  19 60 '2020/12/19' 103 123 323,0
  20 45 '20/12/2020' 97 125 243,0
  21 60 '21/12/2020' 108 131 364,2 
  22 45 NaT 100 119 282,0
  23 60 '23/12/2020' 130 101 300,0
  24 45 '24/12/2020' 105 132 246,0
  25 60 '25/12/2020' 102 126 334,5 
  26 60 '26/12/2020' 100 120 250,0
  27 60 '27/12/2020' 92 118 241,0
  28 60 '28/12/2020' 103 132 NaN
  29 60 '29/12/2020' 100 132 280,0
  30 60' 30/12/2020' 102 129 380,3
  31 60 '31/12/2020' 92 115 243,0
